 	$	ஂ	ஃ	அ	ஆ	இ	ஈ	உ	ஊ	எ	ஏ	ஐ	ஒ	ஓ	ஔ	க	ங	ச	ஜ	ஞ	ட	ண	த	ந	ன	ப	ம	ய	ர	ற	ல	ள	ழ	வ	ஶ	ஷ	ஸ	ஹ	ா	ி	ீ	ு	ூ	ெ	ே	ை	ொ	ோ	ௌ	்	௦	௧	௨	௩	௪	௫	௬	௭	௮	௯	௰	௱	௲	௳	௴	௵	௶	௷	௸	௹	௺
ஐ	3025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3328	487	2484	330	137	2522	70	2183	4163	1047	2414	2127	6523	2411	50	392	56	27	1144	1	144	2082	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ஒ	576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3265	626	1569	84	36	16163	2721	18812	229	18313	17781	1036	2839	38745	5649	10322	15217	12036	5111	1	112	737	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ஓ	1070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2254	1469	2390	171	62	25159	629	3028	426	926	2722	2486	5948	9748	163	2904	540	532	5155	1	254	571	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ஔ	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	2	34	4	2	64	1	59	3	12	31	16	15	227	5	25	4	1	179	1	61	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
க	482254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118525	45820	69824	5331	5024	256236	140356	273769	29127	126814	338212	228896	17048	316190	74853	238791	1795083	67592	361049	29	5836	12060	2302	1023074	1302870	55373	1939021	255224	126308	198296	266940	438078	234863	6555	3813106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ங	711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3632	122	60	1	29	72	109	75	23	524	91	108	32	109	29	105	462	10	51	1	1	12	23	175	499	112	230	64	46	82	88	54	40	8	1060989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ச	14775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59992	38982	11676	1386	4409	36011	14460	82363	59504	91849	51601	141529	16297	120367	6501	56673	4713	592	34695	3	1182	4743	2026	345558	794116	66705	404506	64589	362455	128343	114099	89658	63830	4636	740846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ஜ	1943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10368	1502	2404	680	96	2634	603	3746	1900	27904	9721	11187	13738	11491	37	5983	77	10	4477	12	177	3096	963	52819	66425	16729	11526	10606	46305	13264	8752	2374	17576	86	39159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ஞ	336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	107	857	16	124	111	99	267	64	2274	161	352	160	10932	68	127	36	19	170	1	7	53	6	19851	1460	734	1826	548	278	171	1589	31	174	4	141865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ட	183297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107641	73419	24095	660	991	22595	13767	253249	32850	261137	126239	269007	16527	125526	27099	99287	7201	1214	143543	8	347	5641	1010	411584	1318427	35324	1529594	14601	58733	90404	466485	9816	67570	528	2095426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
